title,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20
African elephant,"('african', 63)","('elephant', 63)","('elephants', 44)","('ivory', 16)","('males', 14)","('forest', 12)","('females', 12)","('bush', 11)","('tusks', 10)","('species', 10)","('proposed', 10)","('–', 9)","('also', 8)","('found', 8)","('estimated', 8)","('kg', 8)","('two', 7)","('considered', 7)","('trade', 7)","('range', 7)"
American black bear,"('black', 216)","('american', 176)","('bears', 168)","('bear', 128)","('kg', 33)","('may', 28)","('brown', 27)","('lb)', 27)","('areas', 22)","('also', 20)","('north', 20)","('adult', 20)","('though', 19)","('species', 17)","('found', 17)","('tend', 17)","('new', 16)","('bears,', 15)","('large', 14)","(""bear's"", 14)"
Bald eagle,"('bald', 143)","('eagles', 118)","('eagle', 103)","('prey', 41)","('fish', 38)","('species', 34)","('may', 31)","('large', 28)","('nest', 26)","('american', 23)","('found', 22)","('kg', 22)","('cm', 22)","('bird', 21)","('golden', 21)","('united', 20)","('north', 19)","('recorded', 19)","('adult', 19)","('birds', 19)"
Bengal tiger,"('tiger', 161)","('tigers', 105)","('population', 47)","('bengal', 35)","('national', 34)","('indian', 33)","('kg', 28)","('two', 23)","('sq', 23)","('estimated', 21)","('cm', 21)","('lb)', 21)","('area', 21)","('mi)', 20)","('wildlife', 19)","('one', 18)","('in)', 18)","('habitat', 18)","('forest', 18)","('range', 17)"
Blue whale,"('blue', 119)","('whales', 72)","('whale', 70)","('meters', 24)","('north', 24)","('ft)', 20)","('may', 17)","('pacific', 16)","('pygmy', 14)","('species', 14)","('population', 13)","('found', 12)","('eastern', 12)","('feeding', 11)","('first', 11)","('subspecies', 10)","('also', 10)","('recorded', 10)","('tonnes', 9)","('female', 9)"
Bottlenose dolphin,"('dolphins', 99)","('bottlenose', 79)","('dolphin', 67)","('also', 24)","('two', 20)","('fish', 18)","('species', 16)","('t.', 14)","('marine', 12)","('one', 12)","('common', 11)","('form', 11)","('females', 11)","('males', 11)","('found', 10)","('research', 10)","('water', 10)","('social', 10)","('observed', 10)","('behavior', 10)"
Brown bear,"('bears', 188)","('brown', 178)","('bear', 142)","('may', 35)","('black', 31)","('bears,', 29)","('grizzly', 28)","('species', 27)","('large', 26)","('cubs', 26)","('also', 25)","('one', 24)","('polar', 22)","('two', 22)","('years', 21)","('males', 21)","('populations', 20)","('american', 20)","('often', 20)","('north', 19)"
Cheetah,"('cheetah', 136)","('cheetahs', 95)","('prey', 41)","('may', 31)","('males', 30)","('two', 21)","('cubs', 20)","('one', 19)","('typically', 18)","('three', 18)","('females', 18)","('larger', 18)","('long', 17)","('large', 16)","('individuals', 16)","('often', 16)","('less', 16)","('km/h', 15)","('around', 15)","('study', 15)"
Chimpanzee,"('chimpanzees', 106)","('chimpanzee', 68)","('may', 29)","('human', 27)","('males', 27)","('also', 23)","('females', 23)","('species', 19)","('use', 18)","('humans', 16)","('one', 16)","('groups', 15)","('individuals', 15)","('found', 15)","('two', 13)","('adult', 13)","('pan', 12)","('years', 12)","('troglodytes', 12)","('national', 12)"
Common octopus,"('oxygen', 56)","('octopus', 40)","('blood', 37)","('water', 22)","('also', 20)","('vulgaris', 19)","('temperature', 18)","('o.', 16)","('concentrations', 16)","('increase', 15)","('pressure', 14)","('renal', 13)","('common', 12)","('metabolic', 12)","('gills', 12)","('°c', 11)","('within', 11)","('due', 11)","('rate', 11)","('high', 10)"
Cat,"('cats', 140)","('cat', 92)","('domestic', 48)","('also', 30)","('may', 29)","('feral', 17)","('humans', 17)","('one', 17)","('human', 16)","('small', 15)","('often', 15)","('around', 15)","('female', 14)","('many', 14)","('cats,', 13)","('used', 13)","('usually', 12)","('like', 11)","('social', 11)","('behavior', 11)"
Chicken,"('chickens', 47)","('chicken', 36)","('eggs', 26)","('may', 21)","('also', 15)","('called', 12)","('hen', 12)","('south', 11)","('chick', 10)","('hens', 10)","('domesticated', 9)","('red', 9)","('junglefowl', 9)","('male', 9)","('often', 9)","('domestic', 8)","('found', 8)","('young', 8)","('incubation', 8)","('egg', 8)"
Dog,"('dogs', 127)","('dog', 73)","('pet', 24)","('human', 21)","('study', 19)","('dogs,', 19)","('also', 18)","('one', 17)","('domestic', 16)","(""dog's"", 15)","('breeds', 15)","('health', 15)","('found', 14)","('wolf', 13)","('species', 12)","('two', 12)","('dogs.', 12)","('people', 12)","('social', 12)","('canis', 11)"
Goat,"('goats', 88)","('goat', 61)","('milk', 39)","('used', 36)","('may', 25)","('also', 22)","('meat', 17)","('kept', 16)","('breeds', 15)","('one', 13)","('dairy', 13)","('many', 12)","('doe', 12)","(""goat's"", 12)","('generally', 12)","('animals', 11)","('animal', 10)","('usually', 10)","('production', 10)","('typically', 9)"
Pig,"('pigs', 68)","('pig', 48)","('–', 17)","('used', 16)","('wild', 15)","('human', 15)","('piglets', 15)","('animals', 14)","('also', 13)","('may', 12)","('domesticated', 12)","('sow', 11)","('domestic', 10)","('many', 10)","('one', 10)","('milk', 10)","('teat', 10)","('known', 9)","('often', 8)","('animal', 8)"
Rabbit,"('rabbit', 97)","('rabbits', 64)","('ears', 21)","('also', 17)","(""rabbit's"", 17)","('called', 15)","('hind', 15)","('known', 14)","('female', 14)","('body', 14)","('rabbit,', 12)","('hares', 11)","('rabbits,', 10)","('large', 10)","('longer', 10)","('ear', 10)","('temperature', 10)","('blood', 10)","('may', 10)","('wild', 9)"
Sheep,"('sheep', 264)","('may', 51)","('also', 41)","('wool', 38)","('breeds', 35)","('used', 32)","('meat', 23)","('often', 22)","('many', 20)","('one', 18)","('sheep.', 17)","('ewes', 17)","('lambs', 17)","('animals', 16)","('first', 16)","('however,', 15)","('domestic', 14)","('use', 14)","('sheep,', 14)","('especially', 13)"
Emperor penguin,"('emperor', 63)","('penguin', 48)","('penguins', 30)","('around', 24)","('species', 22)","('chick', 21)","('breeding', 19)","('one', 19)","('antarctic', 17)","('may', 17)","('male', 16)","('sea', 16)","('chicks', 16)","('female', 12)","('ice', 12)","('egg', 12)","('colonies', 11)","('food', 11)","('colony', 11)","('years', 10)"
Giant panda,"('panda', 99)","('giant', 85)","('pandas', 65)","('bamboo', 19)","('may', 18)","('wild', 16)","('also', 16)","('conservation', 15)","('scent', 14)","('china', 13)","('population', 13)","('first', 13)","('however,', 12)","('female', 12)","('species', 11)","('one', 11)","(""panda's"", 11)","('breeding', 11)","('chemical', 11)","('red', 10)"
Giraffe,"('giraffes', 73)","('giraffe', 69)","('neck', 27)","('males', 26)","('may', 25)","('also', 21)","('species', 20)","('legs', 18)","('one', 15)","('adult', 15)","('large', 14)","('around', 14)","('head', 14)","('animal', 13)","('long', 13)","('used', 12)","('front', 12)","(""giraffe's"", 11)","('females', 11)","('male', 11)"
Great white shark,"('white', 171)","('great', 166)","('shark', 126)","('sharks', 113)","('ft)', 38)","('also', 31)","('species', 29)","('south', 28)","('bite', 28)","('whites', 26)","('large', 21)","('sharks,', 21)","('new', 21)","('estimated', 20)","('known', 19)","('one', 19)","('prey', 19)","(""shark's"", 18)","('kg', 17)","('marine', 16)"
Grizzly bear,"('grizzly', 146)","('bears', 121)","('bear', 88)","('grizzlies', 54)","('population', 35)","('national', 32)","('north', 24)","('black', 24)","('one', 23)","('park', 21)","('food', 20)","('brown', 19)","('also', 18)","('species', 18)","('may', 18)","('yellowstone', 18)","('bears.', 16)","('salmon', 16)","('british', 15)","('estimated', 14)"
